﻿﻿﻿Region code,Region name,Father Region name
1156652900,阿克苏地区,新疆维吾尔自治区
1156653000,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
1156653100,喀什地区,新疆维吾尔自治区
1156653200,和田地区,新疆维吾尔自治区
1156654000,伊犁哈萨克自治州,新疆维吾尔自治区
1156654200,塔城地区,新疆维吾尔自治区
1156654300,阿勒泰地区,新疆维吾尔自治区
1156139000,省直辖县级行政区划,河北省
1156419000,省直辖县级行政区划,河南省
1156429000,省直辖县级行政区划,湖北省
1156469000,省直辖县级行政区划,海南省
1156659000,自治区直辖县级行政区划,新疆维吾尔自治区
1000000000,全球,全球
1004000000,阿富汗,全球
1008000000,阿尔巴尼亚,全球
1012000000,阿尔及利亚,全球
1016000000,美属萨摩亚,全球
1020000000,安道尔,全球
1024000000,安哥拉,全球
1028000000,安提瓜和巴布达,全球
1031000000,阿塞拜疆,全球
1032000000,阿根廷,全球
1036000000,澳大利亚,全球
1040000000,奥地利,全球
1044000000,巴哈马,全球
1048000000,巴林,全球
1050000000,孟加拉,全球
1051000000,亚美尼亚,全球
1052000000,巴巴多斯,全球
1056000000,比利时,全球
1060000000,百慕大,全球
1064000000,不丹,全球
1068000000,玻利维亚,全球
1070000000,波黑,全球
1072000000,博茨瓦纳,全球
1076000000,巴西,全球
1084000000,伯利兹,全球
1086000000,英属印度洋领地,全球
1090000000,所罗门群岛,全球
1092000000,英属维尔京群岛,全球
1096000000,文莱,全球
1100000000,保加利亚,全球
1104000000,缅甸,全球
1108000000,布隆迪,全球
1112000000,白俄罗斯,全球
1116000000,柬埔寨,全球
1120000000,喀麦隆,全球
1124000000,加拿大,全球
1132000000,佛得角,全球
1136000000,开曼群岛,全球
1140000000,中非,全球
1144000000,斯里兰卡,全球
1148000000,乍得,全球
1152000000,智利,全球
1156000000,中国大陆,全球
1158000000,台湾,全球
1162000000,圣诞岛,全球
1170000000,哥伦比亚,全球
1174000000,科摩罗,全球
1175000000,马约特,全球
1178000000,刚果（布）,全球
1180000000,刚果（金）,全球
1184000000,库克群岛,全球
1188000000,哥斯达黎加,全球
1191000000,克罗地亚,全球
1192000000,古巴,全球
1196000000,塞浦路斯,全球
1203000000,捷克,全球
1204000000,贝宁,全球
1208000000,丹麦,全球
1212000000,多米尼克,全球
1214000000,多米尼加,全球
1218000000,厄瓜多尔,全球
1222000000,萨尔瓦多,全球
1226000000,赤道几内亚,全球
1231000000,埃塞俄比亚,全球
1232000000,厄立特里亚,全球
1233000000,爱沙尼亚,全球
1234000000,法罗群岛,全球
1238000000,马尔维纳斯群岛（福克兰）,全球
1242000000,斐济群岛,全球
1246000000,芬兰,全球
1248000000,奥兰群岛,全球
1250000000,法国,全球
1254000000,法属圭亚那,全球
1258000000,法属波利尼西亚,全球
1262000000,吉布提,全球
1266000000,加蓬,全球
1268000000,格鲁吉亚,全球
1270000000,冈比亚,全球
